technology,label,tech_push,demand_pull,N_cause,dominant
Cloud computing,Cloud Computing,15.91,38.57,28071.00,demand_pull
Solar Power,Solar Power,18.25,15.29,9396.00,tech_push
Hybrid vehicle electric car,Hybrid/Electric Vehicle,22.50,24.30,1391.00,demand_pull
Wireless charging,Wireless Charging,26.81,26.18,317.00,tech_push
Mobile payment,Mobile Payment,30.63,34.44,1022.00,demand_pull
Smart devices,Smart Devices,31.92,41.31,7971.00,demand_pull
Social Networking,Social Networking,32.44,42.72,4272.00,demand_pull
Rfid tags,RFID Tags,32.85,26.56,2831.00,tech_push
Millimeter wave,Millimeter Wave,33.39,31.58,551.00,tech_push
3d printing,3D Printing,33.88,21.23,2887.00,tech_push
Fracking,Fracking,35.46,25.15,1145.00,tech_push
Fingerprint sensor,Fingerprint Sensor,35.78,20.18,109.00,tech_push
Lithium battery,Lithium Battery,39.77,23.14,1828.00,tech_push
Online streaming,Online Streaming,41.79,24.38,6977.00,tech_push
Electronic gaming,Electronic Gaming,44.52,25.45,2181.00,tech_push
Bispecific monoclonal antibody,Bispecific Antibody,44.96,11.63,129.00,tech_push
Search Engine,Search Engine,46.56,21.22,1018.00,tech_push
Autonomous Cars,Autonomous Vehicles,48.02,9.76,1997.00,tech_push
Oled display,OLED Display,48.77,36.21,6612.00,tech_push
Touch screen,Touch Screen,49.90,21.79,491.00,tech_push
Stent graft,Stent Graft,51.71,5.98,234.00,tech_push
Wifi,WiFi,54.32,28.10,2879.00,tech_push
Computer vision,Computer Vision,56.28,0.00,215.00,tech_push
Virtual Reality,Virtual Reality,56.76,15.77,222.00,tech_push
Machine Learning AI,Machine Learning/AI,56.91,7.19,4337.00,tech_push
Drug conjugates,Drug Conjugates,74.07,0.00,162.00,tech_push
