technology,tech_push_sent_window,tech_push_phrase,tech_push_company,tech_push_input_id,demand_pull_sent_window,demand_pull_phrase,demand_pull_company,demand_pull_input_id
3d printing,"At record, as an example, we showed the 3D-printed cylinder produced for Wärtsilä, the global leader in innovative technologies and lifecycle solutions in the marine and energy markets. On its journey to enable carbon-neutral shipping and energy production, Wärtsilä explored innovative design to optimize the cooling performance of the cylinder head achieving a 60% weight reduction compared to the original design. This new design also allows the integration of up to 10 subsystems into the final component, reducing assembly complexity and improving cooling performance. Previously, the design complexity and far side of this innovative design made it impossible to 3D-printed part using conventional large-scale AM technology. However, by combining nTop's design software with Materialise's metrics and extra build processor based on implicit modeling, it has become possible to 3D printer part. We will now start onboarding customers in an early access program with Nikon SLM Solutions being the first early access partner in this program. And this partnership is an example of the type of collaboration our industry needs to unlock its full potential in the coming years.",combining nTop's design software with Materialise's metrics and extra build processor based on implicit modeling,Materialise NV,426673,"This fragility fracture market is of strategic importance since over 75% of patients with this condition are initially treated with Bedrock and have over a 25% 1-year mortality rate. With the indication on label, we've increased our targeted sales and marketing efforts to engage and educate trauma surgeons and believe trauma provides a huge growth opportunity for the company. More to iFuse Bedrock Granite. We're pleased with the strong initial reception for this unique solution that combines the strength of a solid implant with the porosity of 3D printed technology. iFuse Bedrock Granite was developed to address the surgeon's preference to augment stability at the base of long constructs used to treat adult spinal deformity. With an increasing user base of more than 300 surgeons who have performed a Bedrock procedure since 2019 were optimistic about the adoption of iFuse Bedrock Granite. We also believe there will be a subset of surgeons who will want to use some combination of our products to get 2 points of fixation across the SI joint on either side, resulting in broader portfolio penetration and higher procedure ASP.",surgeon's preference to augment stability at the base of long constructs,SI-BONE Inc,341821.0
Autonomous Cars,"We're working with several other customers on advanced development programs so there are more awards to come with this new technology. Both of these high-speed computing platforms are a huge competitive advantage for Delphi, linking our electrical architecture and electronics and safety capabilities, enabling more connected vehicle content, reducing both mass and cost while providing scalability for the OE, and positioning Delphi at the integrator of choice for many of our customers. As I mentioned, our autonomous driving capabilities continue to garner strong customer interest. When you combine Mobileye's vision and road experience management systems with Delphi's a Best-in-Class Sensor Suite, automated driving software from Automatica, and our multi-domain controller, no other entity comes close to matching the quality or the capability of our CSLP automated driving platforms. We believe no other system will be faster to market; and as we've heard from our customers, no other company is in as strong a position as Delphi. We're also providing OEMs with the best value solutions for vehicle electrification. Our 48-volt model hybrid system and components offer about a 10% to 15% fuel economy improvement at roughly 1/3 of the cost of a full hybrid, also providing engine power and torque, resulting in a better driving experience.",electrical architecture and electronics and safety capabilities,Aptiv PLC,191481,"Page 5, I'd like to talk a little bit about compound semiconductor. I think backed by stimulus package and net 0 carbon emission, compound semiconductor will scale up -- worldwide compound semiconductor will scale up very rapidly. In addition to the silicon products, GlobalWafers also has a comprehensive compound semiconductor offering, which makes GlobalWafers well positioned for the trend. Automotive growth still exceeds market growth, and due to the increasing demand for EV and the infotainment, autonomous driving technology and so on. As for the inventory, I think for the worldwide industry inventory with soft momentum in consumer electronics, inventories are really piling up in the industry, a global semiconducting industry. Yet, the inventory level in our customers vary on applications. Demand for automotive and industrial applications remain very strong.","increasing demand for EV and the infotainment, autonomous driving technology",Globalwafers Co Ltd,365775.0
Bispecific monoclonal antibody,"Next, I would like to highlight Neo-X-Prime, our innovative bispecific antibody platform. Neo-X-Prime is based on Alligator's long-standing expertise in antibody discovery, bispecific antibody engineering, and CD40 target molecule biology. We see great promise in the Neo-X-Prime platform to drive further growth of Alligator, both as a proprietary part of our pipeline, but also as a partner platform. In November 2021, we presented data at SITC that highlighted the efficacy and safety of novel -- the preclinical safety of a novel Neo-X-Prime molecule, a bispecific antibody targeting CD40 and the tumor-associated antigen, CEA. The data showed that this molecule provides the delivery of neoantigen-containing tumor vesicles to antigen-presenting cells, thereby stimulating tumor-specific T cell reservoirs resulting in potent anti-tumor efficacy. This was another important step forward in the development of our platform technology as these data reinforce with both potential of Neo-X-Prime and the derived assets. If I could have slide 8, please.","Alligator's long-standing expertise in antibody discovery, bispecific antibody engineering, and CD40 target molecule biology",,348418,"We also expect to initiate a combination with standard of care chemotherapy in first-line metastatic pancreatic cancer later this year. An indication, we are very interested in because both preclinical and clinical data suggests that the CD-40 pathway may have important anti-tumor potential in this disease. We also expect to report on interim data from CDX-1140 this fall, that would focus on data from the monotherapy expansion cohorts in squamous cell head and neck cancer and renal cell carcinoma, data from the combination with CDX-301 and preliminary data from the combination with KEYTRUDA. CDX-527, our first bispecific antibody program is also expected to enter the clinic later this year. CDX-527 combines CD27 mediated T-cell activation with PD-1 blockade. We have developed CDX-527 from our proprietary highly active PDL-1 and CD27 human antibodies and demonstrated the bispecific to be more potent than the combination of the individual antibodies in preclinical models. Importantly, our prior clinical experience combining the CD27 agonist antibody varlilumab with PD-1 blockade supports the integration of these 2 antibodies from a dosing safety and activity perspective.",prior clinical experience combining the CD27 agonist antibody varlilumab with PD-1 blockade,Celldex Therapeutics Inc,271642.0
Cloud computing,"We also launched Health+, which provides real-time visibility to customers to ensure the health of their data in motion infrastructure in on-premise environments. Traditional on-premise infrastructure support is a slow process of reactively diagnosing issues, working with the vendor support team, involving lots of painful back and forth and often protracted downtime while diagnosing issues. In order to operate the thousands of clusters in Confluent Cloud, however, Confluent has developed advanced capabilities for continuously monitoring thousands of Kafka clusters and using algorithms to make these operations reliable, efficient and proactive. With Health+, we are now beginning to extend these cloud-based capabilities to our on-premise customers, allowing them to send a continuous stream of monitoring data from their on-premise environments into Confluent Cloud and plugging into the same data in motion platform that powers our cloud operations to help them optimize, monitor and ensure the availability of Confluent in their on-premise environments. The importance of Confluent to hybrid and multi-cloud architectures was further highlighted by the growing relationships that we have with the major cloud providers. Just last month, we were named a Google Cloud Partner of the Year for the third year in a row. Google Cloud has recognized our leadership as a technology partner for smart analytics, highlighting our commitment to customer success and delivery of innovative and impactful solutions on Google Cloud.",advanced capabilities for continuously monitoring thousands of Kafka clusters,Confluent Inc,303710,"The early phase of our cloud strategy consists of first developing new applications that will be cloud-based, but synchronized with the AE on-premise solution and ARGUS On Demand product through application program interfaces and portal functionality, which will bring new users to the ARGUS Enterprise environment. We expect to continue to benefit from growing global demand and favorable trends to increase the use of technology and data in the CRE market. And our product offerings stand to serve the growing needs from professional asset and investment managers for data analytical tools and software solutions that will help drive more timely and informed decisions. We expect to see the first launch of our first web application along with a cloud platform, enabling future applications. And we have been investing significantly in this new technology, and we'll continue to do so in order to sustain our long-term objectives. We're targeting new customers in appraisal management and advisory services and see a growing opportunity for new engagements in global markets as we continue to work with the large global firms. Turning to the CRE Consulting, Property Tax and Valuation and Cost Advisory, they continue to demonstrate market leadership in their respective practices, delivering continued top line and adjusted EBITDA growth.",growing needs from professional asset and investment managers for data analytical tools,Altus Group Ltd,214142.0
Computer vision,"We've been seeing solid momentum in working with hyperscalers, such as Google in particular, in supporting the development of their large language models to enhance their respective GenAI products and services. TI is playing a central role in the reinforcement learning from human feedback loop and supervised fine-tuning, which, thanks to our scale and resource management, enables our AI crowd community to be more efficient and effective. Among other engagements, our AI data solutions team is currently supporting the development of an automatic speech recognition for pre-trained language models owned by a Santa Clara-based company in the chip industry that is also at the forefront of AI. On a similar note, our computer vision team continues to work with several clients to advance autonomous driving technologies, as well as to provide data sets to help them develop and enhance various vehicle features, such as automated driving, collision avoidance systems, auto braking, lane departure warning, and parking assistance systems to assist with development of the hands-free systems for urban and suburban driving, as well as freeway automation. With an eye on continuous improvement and efficiency, our team uses semi-automated type data tagging and selection algorithms, in some cases for more than a dozen metadata parameters, and we equip our data labeling platform with pre-labels to facilitate the optimization of computer vision annotation. In a case study that spans both trust and safety and AI, there's incredibly important work we do for our client, Thorn, an international organization committed to addressing the role of technology in the facilitation of human trafficking and child sexual exploitation. Founded in 2012, Thorn has data science and engineering teams focused solely on developing new technologies to use across the child safety ecosystem to accelerate victim identification, prevent re-victimization, and proactively prevent abuse.",semi-automated type data tagging and selection algorithms,Telus International Cda Inc,419800,,,,
Drug conjugates,"Also, as previously mentioned we are continuing to engage in discussions to broaden our early R&D efforts through partnerships and collaborations. Zymeworks core expertise in antibody engineering and ADC chemistry led to the development of our technology platforms and ultimately to our clinical programs that have been in the spotlight in recent years. We have continued to hone and refine this expertise on the same platforms which resulted in zanidatamab, zanidatamab zovodotin and host a platform licensing and development agreements that remain active across the pharmaceutical industry. This expertise remains the foundation of our development of novel biologics and future clinical candidates and gives us the confidence that Zymeworks will continue to be a leader in both the multi-specific antibody therapeutic and antibody-drug conjugate modalities as we move forward beyond zanidatamab. The clinical candidates presented at our R&D Day which includes 3 Topoisomerase based antibody-drug conjugates developed using our novel Topoisomerase payload and ADC platform and a multi-specific 2-plus one format T-Cell engaging antibody developed using our Azymetric multi-specific platform are the result of the continued effort and focus we bring to developing novel multifunctional targeted therapies for difficult-to-treat cancers with a focus on diseases with the lowest 5-year overall survival rates and where our advanced biologics may be able to make progress towards significantly improved outcomes for patients. While we expect that the anticipated near-term proceeds from our collaboration with Jazz provide us with the funding for the development of a number of product candidates over a reasonable timeframe, we continue to seek partnerships and collaborations both regionally and globally as an integrated part of our R&D strategy to both broaden and accelerate our product pipeline and to maintain our leading position of our technology platforms. Looking forward, we expect to have numerous opportunities for the presentation of additional clinical data over the coming months.",core expertise in antibody engineering and ADC chemistry,,368071,,,,
Electronic gaming,"While higher frame rates are fundamental to providing the most immersive and realistic gaming experience, the need to render high-resolution at ever-increasing frame rates, creates a challenging system engineering problem. When not addressed properly, it results in reduced battery life and overheating that impact device performance and the mobile gaming experience. Our visual processors utilize a distributed visual architecture to offload this intensive processing and upscaling both resolution and frame rate from the apps processor, enabling less power drain, lower operating temperature even during sustained high frame rate gaming, providing a unique mobile gaming experience. According to recent third-party estimates, revenue from mobile gaming in 2020 exceeded $90 billion and represented just over half of the total global video game market. With the growing popularity of mobile gaming in China, an improved gaming experience has become one of the highest priorities for Mobile OEMs on their next-generation devices. Our newest and most advanced 7th generation visual processor, which we taped out last month, is specifically designed to address the fundamental challenges associated with delivering high-performance gaming on a mobile device. I'll defer a full review of the specs and industry first features until we formally unveil the chip to the market later this year.",need to render high-resolution at ever-increasing frame rates,Pixelworks Inc,305242,"With their mass market appeal and user-friendly functions, we believe that the Wii and DS are excellent vehicles to drive online game players to the console, and that the popularity of these brands will resonate with consumers at retail. As we look forward to building a catalog of games in this category, we are placing an emphasis on fun, simple play dynamics that are appealing to customers of all ages and genders. We believe these types of games will eventually become a center of family entertainment. And we see the trend of women's growing acceptance of and interest in video games as influencing purchase patterns, and therefore increasing adoption of video games as a family activity. As such, our strategy involves publishing products targeted at this market via a variety of platforms for the remainder of 2007. We look forward to announcing more titles in this category throughout the year. Now, I'd like to turn the call over to John, so he can take you through the financial review.",women's growing acceptance of and interest in video games,Polarityte Inc,23549.0
Fingerprint sensor,"Another example of incremental content in mobile is the proliferation of our inertial navigation solution, which enables a better mapping experience. This software technology that is optimized for performance with our 6-axis motion sensor has been widely adopted by Huawei across its flagship phones, including the Mate, P, and Honor series. We see a high level of interest from mapping companies globally, and expect this solution to expand to other OEMs as they strive to enable improved location-based services and mapping user experience. A significant opportunity for increasing our mobile content is UltraPrint, our ultrasonic fingerprint sensor. I am very pleased to report that we are on track with the development of this game-changing technology and have successfully passed several technology development milestones. Our fully integrated CMOS MEMS fabrication method combined with beamforming architecture is uniquely suited to enabling unprecedented features and performance that are critical to mobile OEMs such as live finger detection under any surface, including thick glass, metal, and plastic. We are working closely with top-tier Asian mobile OEMs and module partners who are enthusiastic about the technology, and we are on track to begin sampling with lead customers in early 2017.",fully integrated CMOS MEMS fabrication method,InvenSense Inc,173962,"Under continuing weak seasonality, market demand for smartphones is expected to increase slightly quarter-on-quarter but is likely to continue its declining trend on a year-on-year basis. For our Mobile business, with a healthy sales trend of the S10 series, we expect our smartphone shipment to grow slightly quarter-on-quarter as the newly launched A Series is getting positive feedback from the market. Typically in response to diverse customer needs in a rapidly changing market, we replaced the lineup by integrating the J Series into the A Series and introduced a number of new A Series which adopted innovative technology. For the A Series in particular, along with its stylish design, we upgraded essential features that are frequently used by our customers, offering an enhanced camera experience, a powerful battery with super fast charging and on-screen fingerprint scanner. Now new models boast stronger initial sales than its predecessor. In the second quarter, we will not only strive to drive a solid sales of both S10 and new A Series but also to enhance competitiveness of our overall portfolio by expanding adoption of cutting-edge technology, as demonstrated by the S10 5G and A80. For our Network business, we will do our best to maintain our strong performance through 5G commercialization and LTE expansion.",diverse customer needs in a rapidly changing market,Samsung Electronics Co Ltd,240794.0
Fracking,"I do want to point out that our US Land segment operates in a drilling market that is highly correlated with spot oil and gas price levels and movement. At only around 18% of last year's revenues, US Land provides us with a meaningful exposure to this attractive but highly volatile market, but not so much that it raises business risk unduly for us. The skills and experience we gained there allows us to dividend out those capabilities to other attractive and less volatile land drilling markets overseas. With technology advances in horizontal drilling and hydraulic fracturing techniques, unconventional shale gas drilling, coupled with a slowly recovering economy and a warm winter, has led to extremely low natural gas prices in the US. This, in turn, has led to a noticeable decline in gas-directed drilling, though many operators have shifted their focus to oil-directed and gas-liquids-directed drilling, as oil prices have remained high. It is still early days, but the net effect on overall drilling activity in the continental US to this point has been to slow its rate of growth, such as it has leveled off. We continue to monitor the US onshore drilling market for changes, and have both the experience of managing activity downward during a market contraction, which we last saw in 2009, as well as managing rapid growth in a market upswing, such as we saw most recently in 2010 and '11.",technology advances in horizontal drilling and hydraulic fracturing techniques,RigNet Inc,94522,"Please turn to Slide 5 of the presentation for the Q2 2022 performance summary. Year-over-year net sales increased 10% to $664 million from the same period in 2021, driven by price increases, resilient customer demand and the continued execution of our growth initiatives despite persistent supply chain challenges. The increase in year-over-year results was led by a 13% increase in the North American On-Highway end market, principally driven by the continued strength in customer demand for last-mile delivery, regional haul and vocational trucks. Year-over-year results were also improved by a $25 million increase in net sales in the Global Off-Highway end markets driven by sustained demand for hydraulic fracturing applications in the energy sector as well as stronger demand in the mining and construction sectors. An 8% increase in net sales in the Service Parts, Support Equipment and Other end market, principally driven by North American Service Parts and Global Support Equipment and a 7% increase in the net sales in the outside North America On-Highway end market, principally driven by higher demand and increasing penetration in Europe and South America. Gross profit for the quarter was $311 million, an 8% increase from the $288 million for the same period in 2021. The increase was principally driven by price increases on certain products and higher net sales, partially offset by unfavorable material costs.",sustained demand for hydraulic fracturing applications in the energy sector,Allison Transmission Holdings Inc,340172.0
GPS,"And more than 700,000 Garmin products were shipped in the third quarter of 2005, a 31% increase over the same quarter of last year. We shipped our 13th million unit during the quarter, a significant benchmark of the strength of Garmin brand. 49 new products were introduced year to date. The response to our portable navigation devices has been especially strong, resulting in a triple-digit increase in the sales of our automotive product line. The introduction of C-Series, I-series StreetPilot 2720 and M3 not only provides industry-leading features such as real-time traffic and text-to-speech function with street names, but also offered the consumer significant choices on-price form vector functions and capabilities. This large product portfolio allowed us to reach a broad spectrum of retail channels. For instance, the very popular C-Series is offered by most mainstream electronic retailers including Circuit City, Best Buy, Office Depot, CompUSA, Staples, Fry's, as well as many outdoor retailers such as the Bass Pro, Cabela and REI.","introduction of C-Series, I-series StreetPilot 2720 and M3",Garmin Ltd,12981,"The commercial side has gotten a terrific boost over the past couple years from the entry of the online distributors. Before you had Microsoft Virtual Earth, Yahoo! Maps, and Google Earth, not as many people were aware of the uses of geospatial information. About the same you had the dramatic growth in interest in commercial GPS systems. So consumers and businesspeople in general are much more aware of mapping, and the efficiency that it adds to their businesses, and the increased value they can generate if they use geospatial information. So while we have had a direct increase in orders due to the fact that we sell to the online people, I think just as important is the indirect education of the business-to-business and business-to-consumer community on the uses of geospatial information. So we are finding an increase in orders from our second-highest vertical, which is oil and gas.",dramatic growth in interest in commercial GPS systems,GeoEye Inc,25022.0
