Panel,Variable,Value,Mean,SD,P25,Median,P75
A,Total snippets in corpus,443478.0,,,,,
A,Technology-relevant snippets,279085.0,,,,,
A,Share of total (%),62.9,,,,,
A,Causal ratio (%),67.2,,,,,
A,Unique transcripts,82169.0,,,,,
A,Unique technologies,29.0,,,,,
A,Year min,2002.0,,,,,
A,Year max,2024.0,,,,,
A,Snippets per transcript,,3.3964755564750697,4.5738480422140135,1.0,2.0,4.0
B,Observations,13723.0,,,,,
B,Unique firms,2812.0,,,,,
B,Unique technologies,29.0,,,,,
B,Unique quarters,92.0,,,,,
B,Countries,42.0,,,,,
B,Obs per firm,,4.880156472261735,7.8566988670087134,1.0,2.0,5.0
C,Technology Innovation & Advancement,,0.311388603445525,0.28570642323880374,0.0,0.2857142857142857,0.5
C,Market Demand & Consumer Behavior,,0.2968217820055237,0.27121579954839625,0.0,0.2564102564102564,0.5
C,Regulatory & Policy Drivers,,0.06385023832443212,0.15781951152684084,0.0,0.0,0.0
C,Strategic Partnerships & Investment,,0.1935899611809267,0.24141559566678505,0.0,0.1,0.3333333333333333
C,Cost & Economic Viability,,0.13434941504359244,0.20475538377070793,0.0,0.0,0.25
D,Revenue & Financial Growth,,0.2434910476080425,0.23065634945176172,0.0,0.21428571428571427,0.4
D,Cost Reduction & Efficiency,,0.11359102355897228,0.1738716205957203,0.0,0.0,0.2
D,Market Expansion & Adoption,,0.30403824125323053,0.22404627824404388,0.14285714285714285,0.29411764705882354,0.42857142857142855
D,Product & Service Innovation,,0.235022104955451,0.2117962356846642,0.0,0.21428571428571427,0.3333333333333333
D,Operational Efficiency & Automation,,0.10385758262430364,0.15927809655171649,0.0,0.0,0.17647058823529413
E,"Total snippet count, N_ikt",,16.046491291991547,12.773999845062772,8.0,12.0,19.0
E,"Cause spans, N^cause_ikt",,6.509946804634555,5.20676821383077,3.0,5.0,7.0
E,"Effect spans, N^effect_ikt",,9.536544487356991,8.253580280484739,4.0,7.0,11.0
E,Cause-to-effect ratio,,0.8021451429311875,0.3616979136014563,0.5555555555555556,0.75,1.0
